,STATE,YEAR,gdp_per_capita
801,Maine,2005,38961
802,Maryland,2005,51960
803,Massachusetts,2005,58776
804,Michigan,2005,42919
805,Minnesota,2005,52246
806,Mississippi,2005,30813
807,Missouri,2005,42806
808,Montana,2005,36120
809,Nebraska,2005,46062
810,Nevada,2005,54790
811,New Hampshire,2005,48357
812,New Jersey,2005,56768
813,New Mexico,2005,41193
814,New York,2005,58502
815,North Carolina,2005,45042
816,North Dakota,2005,41272
817,Ohio,2005,44684
818,Oklahoma,2005,37662
819,Oregon,2005,42558
820,Pennsylvania,2005,45035
821,Rhode Island,2005,47176
822,South Carolina,2005,37397
823,South Dakota,2005,42762
824,Tennessee,2005,41868
825,Texas,2005,45966
826,Utah,2005,41657
827,Vermont,2005,41588
828,Virginia,2005,52305
829,Washington,2005,51956
830,West Virginia,2005,33628
831,Wisconsin,2005,45131
832,Wyoming,2005,57642
833,New England,2005,56153
834,Mideast,2005,55279
835,Great Lakes,2005,45894
836,Plains,2005,45733
837,Southeast,2005,43067
838,Southwest,2005,44282
839,Rocky Mountain,2005,45662
840,Far West,2005,52439
841,United States,2006,48880
842,Alabama,2006,37735
843,Alaska,2006,64349
844,Arizona,2006,44086
845,Arkansas,2006,35803
846,California,2006,54842
847,Colorado,2006,51515
848,Connecticut,2006,67458
849,Delaware,2006,67857
850,District of Columbia,2006,164366
851,Florida,2006,43926
852,Georgia,2006,47013
853,Hawaii,2006,50631
854,Idaho,2006,36931
855,Illinois,2006,52486
856,Indiana,2006,43279
857,Iowa,2006,45908
858,Kansas,2006,43593
859,Kentucky,2006,38856
860,Louisiana,2006,49164
861,Maine,2006,39288
862,Maryland,2006,52697
863,Massachusetts,2006,59706
864,Michigan,2006,42206
865,Minnesota,2006,51598
866,Mississippi,2006,31513
867,Missouri,2006,42792
868,Montana,2006,36769
869,Nebraska,2006,47056
870,Nevada,2006,54797
871,New Hampshire,2006,48857
872,New Jersey,2006,57666
873,New Mexico,2006,41206
874,New York,2006,59961
875,North Carolina,2006,46408
876,North Dakota,2006,42762
877,Ohio,2006,44532
878,Oklahoma,2006,39391
879,Oregon,2006,45752
880,Pennsylvania,2006,45021
881,Rhode Island,2006,48259
882,South Carolina,2006,37326
883,South Dakota,2006,42825
884,Tennessee,2006,42177
885,Texas,2006,47595
886,Utah,2006,44004
887,Vermont,2006,41754
888,Virginia,2006,52866
889,Washington,2006,52900
890,West Virginia,2006,34009
891,Wisconsin,2006,45515
892,Wyoming,2006,63428
893,New England,2006,57086
894,Mideast,2006,56133
895,Great Lakes,2006,46152
896,Plains,2006,46013
897,Southeast,2006,43586
898,Southwest,2006,45743
